POLITEKNIK NEGERI PADANG,,,,,,,,,
JURUSAN BAHASA INGGRIS,,,,,,,,,
JADWAL SIDANG TUGAS AKHIR,,,,,,,,,

No,Mahasiswa,NIM,Ketua,Sekretaris,Anggota I,Anggota II,Hari/Tanggal,Pukul,Ruangan
11,Joy Powlowski,2101569420,"Dra. Rina Anggraini, M.Pd","Nini Wahyuni, S.Pd., M.Pd","Melyanda Agustin Chairina, S.S., M.Hum.","Gema Febriansyah, M.Hum","Sabtu, 13 Desember 2025",08:00 - 10:00,b
12,Luz Crist,2101740971,"Mutia El Khairat, SS., M.Hum","Titin Ritmi,, SS, M.Hum","Dra. Martini, M.Pd.","Dony Marzuki, S.S., M.Ed., Ph.D","Sabtu, 13 Desember 2025",08:00 - 10:00,c
13,Jeremy Larson,2101940965,"Dra. Kotrini, M.Pd","Silvia Djonnaidi, SS., M.Hum","Titin Ritmi,, SS, M.Hum","Sariani, SS., MA Appl Ling","Sabtu, 13 Desember 2025",10:30 - 12:30,a
14,Earnest Donnelly PhD,2101825448,"Dr. Yohannes Telaumbanua, S.Hum.,M.Pd","Hendro Saptopramono, SS, M.Ed","Sumira, S.Pd., M.Pd","Witri Handayani, SS., M.Pd","Sabtu, 13 Desember 2025",10:30 - 12:30,b
15,Miss Lucia Smitham,2101905403,"Dr. Siti Aminah, M.T","Dr. Sabriandi Erdian, S.S., M.Hum","Nini Wahyuni, S.Pd., M.Pd","Melyanda Agustin Chairina, S.S., M.Hum.","Sabtu, 13 Desember 2025",10:30 - 12:30,c
16,Silvia Will,2101782987,"Sariani, SS., MA Appl Ling","Mutia El Khairat, SS., M.Hum","Fithratul Miladiyenti, S.S., M.Hum.","Dr. Yohannes Telaumbanua, S.Hum.,M.Pd","Senin, 15 Desember 2025",08:00 - 10:00,a
17,Sabrina Maggio,2101830547,"Dony Marzuki, S.S., M.Ed., Ph.D","Gilang Surendra, S.IP., M.I.Kom.","Dr. Difiani Apriyanti, SS., M.Pd","Dra. Kotrini, M.Pd","Senin, 15 Desember 2025",08:00 - 10:00,b
18,Desiree Bashirian,2101164663,"Witri Handayani, SS., M.Pd","Novi Fitria, S.S., M.Pd.","Hasbi, SS.,M.Ed.M","Nini Wahyuni, S.Pd., M.Pd","Senin, 15 Desember 2025",08:00 - 10:00,c
19,Ms. Mildred Altenwerth,2101039117,"Dr. Difiani Apriyanti, SS., M.Pd","Astuti Pratiwi Rahmadhani, S.Pd., M.Pd..","Dr. Yohannes Telaumbanua, S.Hum.,M.Pd","Dr. Ahmad Fauzi, M.Kom","Senin, 15 Desember 2025",10:30 - 12:30,a
20,Edith Russel,2101462731,"Nini Wahyuni, S.Pd., M.Pd","Yaningsih, S.S., M.Hum.","Tia Kharina Elvonny, S.Pd., M.Hum.","Titin Ritmi,, SS, M.Hum","Senin, 15 Desember 2025",10:30 - 12:30,b
21,Jason Dickens,2101406773,"Sumira, S.Pd., M.Pd","Gema Febriansyah, M.Hum","Dra. Kotrini, M.Pd","Gilang Surendra, S.IP., M.I.Kom.","Senin, 15 Desember 2025",10:30 - 12:30,c
22,Leticia Hodkiewicz,2101107224,"Novi Fitria, S.S., M.Pd.","Fithratul Miladiyenti, S.S., M.Hum.","Mutia El Khairat, SS., M.Hum","Hendro Saptopramono, SS, M.Ed","Senin, 15 Desember 2025",13:30 - 15:30,a
23,Hattie Weber,2101226877,"Dr. Sabriandi Erdian, S.S., M.Hum","Melyanda Agustin Chairina, S.S., M.Hum.","Nini Wahyuni, S.Pd., M.Pd","Desi Yulastri, M.EIL","Senin, 15 Desember 2025",13:30 - 15:30,b
24,Eugene Kunze,2101837179,"Dra. Kotrini, M.Pd","Tia Kharina Elvonny, S.Pd., M.Hum.","Witri Handayani, SS., M.Pd","Astuti Pratiwi Rahmadhani, S.Pd., M.Pd..","Senin, 15 Desember 2025",13:30 - 15:30,c
25,Mrs. Pamela Trantow-Collier,2101881073,"Dr. Ahmad Fauzi, M.Kom","Dra. Rina Anggraini, M.Pd","Dr. Sabriandi Erdian, S.S., M.Hum","Dony Marzuki, S.S., M.Ed., Ph.D","Selasa, 16 Desember 2025",08:00 - 10:00,a
26,Luz Pouros,2101490160,"Fithratul Miladiyenti, S.S., M.Hum.","Sariani, SS., MA Appl Ling","Yaningsih, S.S., M.Hum.","Dr. Siti Aminah, M.T","Selasa, 16 Desember 2025",08:00 - 10:00,b
27,Curtis West,2101642292,"Melyanda Agustin Chairina, S.S., M.Hum.","Dr. Difiani Apriyanti, SS., M.Pd","Witri Handayani, SS., M.Pd","Gilang Surendra, S.IP., M.I.Kom.","Selasa, 16 Desember 2025",08:00 - 10:00,c
28,Lori Hilll,2101587034,"Dr. Ahmad Fauzi, M.Kom","Dra. Martini, M.Pd.","Dony Marzuki, S.S., M.Ed., Ph.D","Dr. Difiani Apriyanti, SS., M.Pd","Selasa, 16 Desember 2025",10:30 - 12:30,a
29,Ashley Bauch,2101406320,"Mutia El Khairat, SS., M.Hum","Hasbi, SS.,M.Ed.M","Gema Febriansyah, M.Hum","Gilang Surendra, S.IP., M.I.Kom.","Selasa, 16 Desember 2025",10:30 - 12:30,b
30,Dr. Ira Collier,2101052926,"Fithratul Miladiyenti, S.S., M.Hum.","Sumira, S.Pd., M.Pd","Silvia Djonnaidi, SS., M.Hum","Yaningsih, S.S., M.Hum.","Selasa, 16 Desember 2025",10:30 - 12:30,c
31,Ethel Grimes,2101451954,"Dra. Martini, M.Pd.","Dra. Kotrini, M.Pd","Titin Ritmi,, SS, M.Hum","Dr. Difiani Apriyanti, SS., M.Pd","Selasa, 16 Desember 2025",13:30 - 15:30,a
32,Megan Considine,2101292891,"Astuti Pratiwi Rahmadhani, S.Pd., M.Pd..","Dony Marzuki, S.S., M.Ed., Ph.D","Mutia El Khairat, SS., M.Hum","Dr. Ahmad Fauzi, M.Kom","Selasa, 16 Desember 2025",13:30 - 15:30,b
33,Fernando Monahan Sr.,2101620666,"Gilang Surendra, S.IP., M.I.Kom.","Desi Yulastri, M.EIL","Novi Fitria, S.S., M.Pd.","Sumira, S.Pd., M.Pd","Selasa, 16 Desember 2025",13:30 - 15:30,c
34,Cheryl Renner III,2101117945,"Sumira, S.Pd., M.Pd","Witri Handayani, SS., M.Pd","Sariani, SS., MA Appl Ling","Novi Fitria, S.S., M.Pd.","Rabu, 17 Desember 2025",08:00 - 10:00,a
35,Tom Parisian,2101542226,"Dra. Rina Anggraini, M.Pd","Titin Ritmi,, SS, M.Hum","Dr. Yohannes Telaumbanua, S.Hum.,M.Pd","Melyanda Agustin Chairina, S.S., M.Hum.","Rabu, 17 Desember 2025",08:00 - 10:00,b
36,Andre Schultz,2101673692,"Tia Kharina Elvonny, S.Pd., M.Hum.","Mutia El Khairat, SS., M.Hum","Dony Marzuki, S.S., M.Ed., Ph.D","Silvia Djonnaidi, SS., M.Hum","Rabu, 17 Desember 2025",08:00 - 10:00,c
37,Kyle Kerluke,2101791718,"Dra. Martini, M.Pd.","Silvia Djonnaidi, SS., M.Hum","Fithratul Miladiyenti, S.S., M.Hum.","Gema Febriansyah, M.Hum","Rabu, 17 Desember 2025",10:30 - 12:30,a
38,Dave Conn,2101763858,"Novi Fitria, S.S., M.Pd.","Hendro Saptopramono, SS, M.Ed","Dra. Kotrini, M.Pd","Titin Ritmi,, SS, M.Hum","Rabu, 17 Desember 2025",10:30 - 12:30,b
39,Jesus Hoppe,2201904571,"Astuti Pratiwi Rahmadhani, S.Pd., M.Pd..","Gilang Surendra, S.IP., M.I.Kom.","Dr. Yohannes Telaumbanua, S.Hum.,M.Pd","Dr. Difiani Apriyanti, SS., M.Pd","Rabu, 17 Desember 2025",10:30 - 12:30,c
40,Barbara Emard,2101661369,"Dr. Yohannes Telaumbanua, S.Hum.,M.Pd","Nini Wahyuni, S.Pd., M.Pd","Witri Handayani, SS., M.Pd","Dra. Martini, M.Pd.","Rabu, 17 Desember 2025",13:30 - 15:30,a
41,Cecil Hansen,2101146767,"Gilang Surendra, S.IP., M.I.Kom.","Dr. Sabriandi Erdian, S.S., M.Hum","Astuti Pratiwi Rahmadhani, S.Pd., M.Pd..","Melyanda Agustin Chairina, S.S., M.Hum.","Rabu, 17 Desember 2025",13:30 - 15:30,b
42,Jeremiah Mitchell-Rowe,2201073936,"Hasbi, SS.,M.Ed.M","Yaningsih, S.S., M.Hum.","Dony Marzuki, S.S., M.Ed., Ph.D","Dr. Difiani Apriyanti, SS., M.Pd","Rabu, 17 Desember 2025",13:30 - 15:30,c
43,Pat Muller,2201334844,"Dr. Yohannes Telaumbanua, S.Hum.,M.Pd","Astuti Pratiwi Rahmadhani, S.Pd., M.Pd..","Dra. Martini, M.Pd.","Dr. Ahmad Fauzi, M.Kom","Kamis, 18 Desember 2025",08:00 - 10:00,a
44,Diana Kerluke-Shields,2201325242,"Yaningsih, S.S., M.Hum.","Melyanda Agustin Chairina, S.S., M.Hum.","Fithratul Miladiyenti, S.S., M.Hum.","Nini Wahyuni, S.Pd., M.Pd","Kamis, 18 Desember 2025",08:00 - 10:00,b
45,Cecil Wiza V,2201805593,"Sariani, SS., MA Appl Ling","Gema Febriansyah, M.Hum","Dra. Kotrini, M.Pd","Titin Ritmi,, SS, M.Hum","Kamis, 18 Desember 2025",08:00 - 10:00,c
46,Drew Labadie,2201060543,"Hendro Saptopramono, SS, M.Ed","Fithratul Miladiyenti, S.S., M.Hum.","Astuti Pratiwi Rahmadhani, S.Pd., M.Pd..","Sariani, SS., MA Appl Ling","Kamis, 18 Desember 2025",10:30 - 12:30,a
47,Corey Kshlerin V,2201673388,"Sumira, S.Pd., M.Pd","Tia Kharina Elvonny, S.Pd., M.Hum.","Hasbi, SS.,M.Ed.M","Dra. Rina Anggraini, M.Pd","Kamis, 18 Desember 2025",10:30 - 12:30,b
48,Hector Gottlieb,2201782630,"Novi Fitria, S.S., M.Pd.","Dra. Martini, M.Pd.","Witri Handayani, SS., M.Pd","Melyanda Agustin Chairina, S.S., M.Hum.","Kamis, 18 Desember 2025",10:30 - 12:30,c
49,Kelley Grady,2201999192,"Gema Febriansyah, M.Hum","Novi Fitria, S.S., M.Pd.","Desi Yulastri, M.EIL","Dra. Martini, M.Pd.","Kamis, 18 Desember 2025",13:30 - 15:30,a
50,Darryl Schmitt,2201390850,"Tia Kharina Elvonny, S.Pd., M.Hum.","Dra. Kotrini, M.Pd","Dr. Siti Aminah, M.T","Sumira, S.Pd., M.Pd","Kamis, 18 Desember 2025",13:30 - 15:30,b
51,Leticia McGlynn,2201660714,"Witri Handayani, SS., M.Pd","Dony Marzuki, S.S., M.Ed., Ph.D","Gilang Surendra, S.IP., M.I.Kom.","Dra. Rina Anggraini, M.Pd","Kamis, 18 Desember 2025",13:30 - 15:30,c
52,Ernesto Brekke,2201003378,"Hendro Saptopramono, SS, M.Ed","Dra. Rina Anggraini, M.Pd","Dr. Siti Aminah, M.T","Nini Wahyuni, S.Pd., M.Pd","Jumat, 19 Desember 2025",07:00 - 09:00,a
53,Wendy Jakubowski,2201153156,"Gema Febriansyah, M.Hum","Hasbi, SS.,M.Ed.M","Titin Ritmi,, SS, M.Hum","Astuti Pratiwi Rahmadhani, S.Pd., M.Pd..","Jumat, 19 Desember 2025",07:00 - 09:00,b
54,Ignacio Hickle,2201771794,"Yaningsih, S.S., M.Hum.","Witri Handayani, SS., M.Pd","Dony Marzuki, S.S., M.Ed., Ph.D","Melyanda Agustin Chairina, S.S., M.Hum.","Jumat, 19 Desember 2025",07:00 - 09:00,c
55,Dr. Lynne Bednar,2201832551,"Tia Kharina Elvonny, S.Pd., M.Hum.","Sariani, SS., MA Appl Ling","Dr. Sabriandi Erdian, S.S., M.Hum","Dony Marzuki, S.S., M.Ed., Ph.D","Jumat, 19 Desember 2025",09:30 - 11:30,a
56,Mr. Roger Welch,2201126751,"Dra. Rina Anggraini, M.Pd","Sumira, S.Pd., M.Pd","Hasbi, SS.,M.Ed.M","Fithratul Miladiyenti, S.S., M.Hum.","Jumat, 19 Desember 2025",09:30 - 11:30,b
57,Lucia Schuster,2201128869,"Titin Ritmi,, SS, M.Hum","Silvia Djonnaidi, SS., M.Hum","Dr. Difiani Apriyanti, SS., M.Pd","Gilang Surendra, S.IP., M.I.Kom.","Jumat, 19 Desember 2025",09:30 - 11:30,c
58,Loren O'Connell,2201824991,"Fithratul Miladiyenti, S.S., M.Hum.","Dr. Difiani Apriyanti, SS., M.Pd","Yaningsih, S.S., M.Hum.","Hendro Saptopramono, SS, M.Ed","Jumat, 19 Desember 2025",13:00 - 15:00,a
59,Ken Jacobson,2201445935,"Novi Fitria, S.S., M.Pd.","Desi Yulastri, M.EIL","Nini Wahyuni, S.Pd., M.Pd","Dra. Rina Anggraini, M.Pd","Jumat, 19 Desember 2025",13:00 - 15:00,b
60,Stacey Kris,2201006964,"Astuti Pratiwi Rahmadhani, S.Pd., M.Pd..","Dr. Sabriandi Erdian, S.S., M.Hum","Tia Kharina Elvonny, S.Pd., M.Hum.","Dr. Ahmad Fauzi, M.Kom","Jumat, 19 Desember 2025",13:00 - 15:00,c
61,Miranda Weimann DVM,2201472026,"Gema Febriansyah, M.Hum","Nini Wahyuni, S.Pd., M.Pd","Sariani, SS., MA Appl Ling","Dra. Rina Anggraini, M.Pd","Sabtu, 20 Desember 2025",08:00 - 10:00,a
62,Tony Balistreri,2201240739,"Dra. Martini, M.Pd.","Hendro Saptopramono, SS, M.Ed","Gilang Surendra, S.IP., M.I.Kom.","Melyanda Agustin Chairina, S.S., M.Hum.","Sabtu, 20 Desember 2025",08:00 - 10:00,b
63,Estelle Will,2201206257,"Tia Kharina Elvonny, S.Pd., M.Hum.","Astuti Pratiwi Rahmadhani, S.Pd., M.Pd..","Yaningsih, S.S., M.Hum.","Dr. Difiani Apriyanti, SS., M.Pd","Sabtu, 20 Desember 2025",08:00 - 10:00,c
64,Omar Legros,2201076095,"Dra. Rina Anggraini, M.Pd","Titin Ritmi,, SS, M.Hum","Gema Febriansyah, M.Hum","Dr. Siti Aminah, M.T","Sabtu, 20 Desember 2025",10:30 - 12:30,a
65,Julian Rice-Botsford,2201069581,"Melyanda Agustin Chairina, S.S., M.Hum.","Mutia El Khairat, SS., M.Hum","Novi Fitria, S.S., M.Pd.","Gilang Surendra, S.IP., M.I.Kom.","Sabtu, 20 Desember 2025",10:30 - 12:30,b
66,Carl Daniel,2201954652,"Hendro Saptopramono, SS, M.Ed","Dra. Martini, M.Pd.","Dr. Sabriandi Erdian, S.S., M.Hum","Witri Handayani, SS., M.Pd","Sabtu, 20 Desember 2025",10:30 - 12:30,c
67,Maria Blanda,2201902288,"Sariani, SS., MA Appl Ling","Fithratul Miladiyenti, S.S., M.Hum.","Silvia Djonnaidi, SS., M.Hum","Gema Febriansyah, M.Hum","Senin, 22 Desember 2025",08:00 - 10:00,a
68,Harvey Treutel MD,2201620584,"Dra. Martini, M.Pd.","Novi Fitria, S.S., M.Pd.","Sumira, S.Pd., M.Pd","Astuti Pratiwi Rahmadhani, S.Pd., M.Pd..","Senin, 22 Desember 2025",08:00 - 10:00,b
69,Bruce Brekke II,2201138389,"Hendro Saptopramono, SS, M.Ed","Dra. Kotrini, M.Pd","Titin Ritmi,, SS, M.Hum","Dr. Sabriandi Erdian, S.S., M.Hum","Senin, 22 Desember 2025",08:00 - 10:00,c
70,Ella Spinka,2201532274,"Silvia Djonnaidi, SS., M.Hum","Gilang Surendra, S.IP., M.I.Kom.","Dra. Kotrini, M.Pd","Novi Fitria, S.S., M.Pd.","Senin, 22 Desember 2025",10:30 - 12:30,a
71,Edna Thompson,2201232700,"Astuti Pratiwi Rahmadhani, S.Pd., M.Pd..","Melyanda Agustin Chairina, S.S., M.Hum.","Fithratul Miladiyenti, S.S., M.Hum.","Dra. Rina Anggraini, M.Pd","Senin, 22 Desember 2025",10:30 - 12:30,b
72,Lauren McLaughlin,2201816803,"Mutia El Khairat, SS., M.Hum","Dony Marzuki, S.S., M.Ed., Ph.D","Tia Kharina Elvonny, S.Pd., M.Hum.","Dr. Ahmad Fauzi, M.Kom","Senin, 22 Desember 2025",10:30 - 12:30,c
73,Tammy Kuvalis,2201259027,"Dra. Kotrini, M.Pd","Yaningsih, S.S., M.Hum.","Sariani, SS., MA Appl Ling","Dr. Sabriandi Erdian, S.S., M.Hum","Senin, 22 Desember 2025",13:30 - 15:30,a
74,Raul O'Reilly,2201299523,"Dr. Difiani Apriyanti, SS., M.Pd","Tia Kharina Elvonny, S.Pd., M.Hum.","Dr. Yohannes Telaumbanua, S.Hum.,M.Pd","Novi Fitria, S.S., M.Pd.","Senin, 22 Desember 2025",13:30 - 15:30,b
75,Ignacio Sanford,2201368404,"Melyanda Agustin Chairina, S.S., M.Hum.","Gema Febriansyah, M.Hum","Mutia El Khairat, SS., M.Hum","Desi Yulastri, M.EIL","Senin, 22 Desember 2025",13:30 - 15:30,c
76,Johnnie Emmerich,2201078260,"Dr. Ahmad Fauzi, M.Kom","Dra. Rina Anggraini, M.Pd","Mutia El Khairat, SS., M.Hum","Sariani, SS., MA Appl Ling","Selasa, 23 Desember 2025",08:00 - 10:00,a
77,Ramon Zemlak,2201646114,"Titin Ritmi,, SS, M.Hum","Hasbi, SS.,M.Ed.M","Silvia Djonnaidi, SS., M.Hum","Dr. Siti Aminah, M.T","Selasa, 23 Desember 2025",08:00 - 10:00,b
78,Ross Shields,2201278540,"Dr. Siti Aminah, M.T","Sariani, SS., MA Appl Ling","Gema Febriansyah, M.Hum","Hasbi, SS.,M.Ed.M","Selasa, 23 Desember 2025",10:30 - 12:30,a
79,Victor Rosenbaum,2201889730,"Dr. Difiani Apriyanti, SS., M.Pd","Sumira, S.Pd., M.Pd","Dra. Kotrini, M.Pd","Tia Kharina Elvonny, S.Pd., M.Hum.","Selasa, 23 Desember 2025",10:30 - 12:30,b
80,Glen Metz,2201037921,"Dr. Yohannes Telaumbanua, S.Hum.,M.Pd","Dr. Difiani Apriyanti, SS., M.Pd","Dra. Rina Anggraini, M.Pd","Fithratul Miladiyenti, S.S., M.Hum.","Selasa, 23 Desember 2025",13:30 - 15:30,a
